Date : 2026-04-02 20:58:16
Directory : c:\Users\dell\Documents\AqwaValley
Total : 389 files,  197079 codes, 3340 comments, 12162 blanks, all 212581 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Log                |          5 |     98,600 |          0 |         30 |     98,630 |
| JSON               |         13 |     39,292 |          0 |          9 |     39,301 |
| TypeScript         |        182 |     23,891 |      2,298 |      3,496 |     29,685 |
| Markdown           |         35 |     12,264 |          0 |      4,589 |     16,853 |
| TypeScript JSX     |         96 |      9,791 |        405 |        979 |     11,175 |
| YAML               |          3 |      9,167 |          0 |      2,371 |     11,538 |
| Python             |         18 |      1,333 |        462 |        431 |      2,226 |
| MS SQL             |         17 |      1,329 |         74 |         63 |      1,466 |
| PostCSS            |          1 |        531 |         29 |         98 |        658 |
| HTML               |          4 |        457 |          7 |         29 |        493 |
| JavaScript         |          9 |        314 |         47 |         47 |        408 |
| Shell Script       |          1 |         62 |         14 |         13 |         89 |
| JSON with Comments |          1 |         35 |          4 |          4 |         43 |
| XML                |          3 |         10 |          0 |          3 |         13 |
| CSV                |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        389 |    197,079 |      3,340 |     12,162 |    212,581 |
| . (Files)                                                                                                                            |         26 |     26,934 |         76 |      2,951 |     29,961 |
| .github                                                                                                                              |          1 |         43 |          0 |         11 |         54 |
| .github\workflows                                                                                                                    |          1 |         43 |          0 |         11 |         54 |
| .reports                                                                                                                             |          1 |          3 |          0 |          0 |          3 |
| .reports\reports                                                                                                                     |          1 |          3 |          0 |          0 |          3 |
| .reports\reports\b88835cc-b34e-4143-aacb-0e2145b41763                                                                                |          1 |          3 |          0 |          0 |          3 |
| __checks__                                                                                                                           |         16 |      1,714 |        329 |        478 |      2,521 |
| __checks__ (Files)                                                                                                                   |          8 |      1,158 |        136 |        364 |      1,658 |
| __checks__\support                                                                                                                   |          8 |        556 |        193 |        114 |        863 |
| docs                                                                                                                                 |         11 |      4,827 |          0 |      1,798 |      6,625 |
| drizzle                                                                                                                              |         22 |     22,882 |         68 |         56 |     23,006 |
| drizzle (Files)                                                                                                                      |         16 |      1,279 |         68 |         54 |      1,401 |
| drizzle\meta                                                                                                                         |          6 |     21,603 |          0 |          2 |     21,605 |
| public                                                                                                                               |          3 |         10 |          0 |          3 |         13 |
| public\svg                                                                                                                           |          3 |         10 |          0 |          3 |         13 |
| scripts                                                                                                                              |         21 |      3,576 |        165 |        536 |      4,277 |
| src                                                                                                                                  |        252 |     30,834 |      2,240 |      4,043 |     37,117 |
| src (Files)                                                                                                                          |          3 |        142 |         40 |         20 |        202 |
| src\__tests__                                                                                                                        |         14 |      1,836 |        343 |        371 |      2,550 |
| src\__tests__\ai                                                                                                                     |          1 |         87 |          2 |         13 |        102 |
| src\__tests__\auth                                                                                                                   |          1 |        274 |         88 |         65 |        427 |
| src\__tests__\email                                                                                                                  |          1 |         54 |          2 |         11 |         67 |
| src\__tests__\fao56                                                                                                                  |          1 |        143 |        103 |         43 |        289 |
| src\__tests__\forecast                                                                                                               |          1 |         58 |          2 |         12 |         72 |
| src\__tests__\ingest                                                                                                                 |          2 |        461 |        106 |         90 |        657 |
| src\__tests__\integration                                                                                                            |          5 |        457 |          4 |         89 |        550 |
| src\__tests__\integration\db                                                                                                         |          3 |        156 |          4 |         29 |        189 |
| src\__tests__\integration\services                                                                                                   |          2 |        301 |          0 |         60 |        361 |
| src\__tests__\quota                                                                                                                  |          1 |        166 |         34 |         34 |        234 |
| src\__tests__\reporting                                                                                                              |          1 |        136 |          2 |         14 |        152 |
| src\app                                                                                                                              |        112 |     11,268 |        489 |      1,229 |     12,986 |
| src\app (Files)                                                                                                                      |          3 |         70 |         16 |         15 |        101 |
| src\app\(farm)                                                                                                                       |         35 |      4,218 |        171 |        398 |      4,787 |
| src\app\(farm) (Files)                                                                                                               |          1 |         67 |         13 |          8 |         88 |
| src\app\(farm)\farm                                                                                                                  |         34 |      4,151 |        158 |        390 |      4,699 |
| src\app\(farm)\farm\ai-plan                                                                                                          |          5 |        877 |         52 |        106 |      1,035 |
| src\app\(farm)\farm\ai-plan (Files)                                                                                                  |          2 |         75 |          9 |         13 |         97 |
| src\app\(farm)\farm\ai-plan\_components                                                                                              |          3 |        802 |         43 |         93 |        938 |
| src\app\(farm)\farm\crops                                                                                                            |          5 |        479 |          9 |         42 |        530 |
| src\app\(farm)\farm\crops (Files)                                                                                                    |          2 |         79 |          3 |         10 |         92 |
| src\app\(farm)\farm\crops\_components                                                                                                |          3 |        400 |          6 |         32 |        438 |
| src\app\(farm)\farm\dashboard                                                                                                        |          7 |        684 |         24 |         62 |        770 |
| src\app\(farm)\farm\dashboard (Files)                                                                                                |          2 |        188 |         15 |         27 |        230 |
| src\app\(farm)\farm\dashboard\_components                                                                                            |          5 |        496 |          9 |         35 |        540 |
| src\app\(farm)\farm\history                                                                                                          |          4 |        490 |         13 |         32 |        535 |
| src\app\(farm)\farm\history (Files)                                                                                                  |          2 |        177 |         11 |         17 |        205 |
| src\app\(farm)\farm\history\_components                                                                                              |          2 |        313 |          2 |         15 |        330 |
| src\app\(farm)\farm\irrigate                                                                                                         |          3 |        656 |         33 |         65 |        754 |
| src\app\(farm)\farm\irrigate (Files)                                                                                                 |          2 |        100 |          3 |         11 |        114 |
| src\app\(farm)\farm\irrigate\_components                                                                                             |          1 |        556 |         30 |         54 |        640 |
| src\app\(farm)\farm\quota                                                                                                            |          5 |        564 |         19 |         45 |        628 |
| src\app\(farm)\farm\quota (Files)                                                                                                    |          2 |        214 |         15 |         19 |        248 |
| src\app\(farm)\farm\quota\_components                                                                                                |          3 |        350 |          4 |         26 |        380 |
| src\app\(farm)\farm\soil                                                                                                             |          5 |        401 |          8 |         38 |        447 |
| src\app\(farm)\farm\soil (Files)                                                                                                     |          1 |        170 |          8 |         20 |        198 |
| src\app\(farm)\farm\soil\_components                                                                                                 |          4 |        231 |          0 |         18 |        249 |
| src\app\(gov)                                                                                                                        |         36 |      3,790 |        143 |        375 |      4,308 |
| src\app\(gov) (Files)                                                                                                                |          1 |         40 |         11 |          5 |         56 |
| src\app\(gov)\alerts                                                                                                                 |          3 |        374 |         24 |         36 |        434 |
| src\app\(gov)\alerts (Files)                                                                                                         |          2 |        112 |          7 |         14 |        133 |
| src\app\(gov)\alerts\_components                                                                                                     |          1 |        262 |         17 |         22 |        301 |
| src\app\(gov)\dashboard                                                                                                              |         11 |        782 |         22 |         97 |        901 |
| src\app\(gov)\dashboard (Files)                                                                                                      |          3 |        114 |          5 |         13 |        132 |
| src\app\(gov)\dashboard\_components                                                                                                  |          8 |        668 |         17 |         84 |        769 |
| src\app\(gov)\distribution                                                                                                           |          4 |        715 |         33 |         60 |        808 |
